음 식 명|중량(g)|에너지(kcal)|탄수화물(g)|단백질(g)|지방(g)|당류(g)|나트륨(mg)
더덕무침|150|220.8915|48.4395|4.89|2.7405|31.5435|1203.5835
도라지생채|150|165.225|38.5905|4.146|1.71|2.997|789.078
도토리묵|100|43.046|9.87|0.398|0.346|1.399|116.473
마늘쫑무침|30|38.1177|9.3513|0.9843|0.2799|3.2781|423.4554
무생채|150|73.68|16.0035|2.634|1.2795|4.4955|832.188
무말랭이|30|39.8895|9.6324|1.3629|0.3426|1.0326|378.7764
오이생채|50|23.3555|4.6255|0.885|0.496|1.515|269.314
파무침|150|124.296|19.4745|3.8175|5.406|8.367|693.834
상추겉절이|200|130.62|17.988|5.648|6.246|1.998|952.32
쑥갓나물무침|150|94.857|8.784|5.4855|6.5055|0|700.1205
청포묵무침|250|157.61|19.675|2.955|4.225|13.7375|756.74
해파리냉채|150|87.285|13.827|6.6315|1.545|7.4925|490.128
가지나물|50|21.873|3.031|0.732|1.272|0|159.1745
고사리나물|50|43.508|3.799|1.9655|3.2625|0|251.53
도라지나물|50|54.675|5.335|0.6695|3.819|0|256.6675
무나물|50|34.575|3.042|0.5755|2.563|0|293.5195
미나리나물|50|28.3435|2.5595|0.99|2.138|0|165.524
숙주나물|50|19.509|1.559|1.312|1.347|0|186.733
시금치나물|50|37.511|3.815|2.069|2.3685|0|217.2565
취나물|50|72.944|3.4555|1.5965|6.7145|0|288.6495
콩나물|50|24.129|1.145|1.6395|1.979|0|203.4965
고구마줄기나물|50|30.439|2.9685|0.6285|2.2385|0|255.7095
우거지나물무침|150|126.114|10.2825|5.076|8.661|1.4985|774.5475
골뱅이무침|100|107.348|15.558|7.905|2.298|6.06|515.92
김무침|30|81.0114|12.1881|4.7094|4.1247|6.9321|498.6339
미역초무침|50|24.936|5.6985|1.0715|0.54|3.996|285.8
북어채무침|150|332.052|31.332|37.366|5.803|18.02458|1048.53
회무침|300|311.5872|42.8792|27.1777|4.2563|26.412|1253.2525
쥐치채|20|53.387|10.1772|2.7684|0.198|6.6036|289.4502
파래무침|30|31.5855|5.4291|2.3397|0.6897|0.8991|252.045
홍어무침|200|193.138|24.898|21.64|2.274|9.434|817.424
골뱅이국수무침|230|256.4163|39.6333|10.5246|7.0146|0|911.7441
오징어무침|200|249.525|13.5522|38.6676|4.1904|0|682.389
잡채|150|198.8235|37.4745|2.5935|4.701|2.988|664.7505
탕평채|100|101.194|10.196|3.529|3.113|6.993|247.419
갓김치|50|27.6355|5.2115|1.9825|0.7015|0.4235|447.774
고들빼기|50|55.3875|11.994|2.206|0.564|0|733.749
깍두기|50|17.988|3.945|0.9975|0.227|0.05|338.876
깻잎김치|150|124.4925|23.2665|6.096|3.1605|2.988|1907.6415
나박김치|100|14.746|2.255|0.63|0.42|0.01|509.472
동치미|400|57.692|14.26|2.696|0.64|0|2313.584
배추겉절이|50|21.239|4.4845|0.9405|0.503|0.996|325.406
